UTC,x_coord,y_coord,click,scroll
2022-08-15 01:50:02.333442,2519,-870,None,None
2022-08-15 01:50:02.335436,2519,-869,None,None
2022-08-15 01:50:02.336435,2519,-868,None,None
2022-08-15 01:50:02.337434,2518,-868,None,None
2022-08-15 01:50:02.338428,2517,-867,None,None
2022-08-15 01:50:02.339425,2517,-866,None,None
2022-08-15 01:50:02.340422,2516,-865,None,None
2022-08-15 01:50:02.341420,2515,-864,None,None
2022-08-15 01:50:02.342421,2515,-863,None,None
2022-08-15 01:50:02.343415,2514,-862,None,None
2022-08-15 01:50:02.344412,2513,-860,None,None
2022-08-15 01:50:02.345409,2511,-859,None,None
2022-08-15 01:50:02.346407,2510,-858,None,None
2022-08-15 01:50:02.347404,2509,-856,None,None
2022-08-15 01:50:02.348402,2508,-855,None,None
2022-08-15 01:50:02.349399,2506,-853,None,None
2022-08-15 01:50:02.350396,2505,-852,None,None
2022-08-15 01:50:02.351393,2503,-850,None,None
2022-08-15 01:50:02.352390,2501,-848,None,None
2022-08-15 01:50:02.353389,2500,-846,None,None
2022-08-15 01:50:02.354390,2498,-844,None,None
2022-08-15 01:50:02.355383,2496,-842,None,None
2022-08-15 01:50:02.356380,2495,-841,None,None
2022-08-15 01:50:02.357378,2493,-839,None,None
2022-08-15 01:50:02.358374,2490,-837,None,None
2022-08-15 01:50:02.359390,2488,-834,None,None
2022-08-15 01:50:02.361367,2486,-832,None,None
2022-08-15 01:50:02.361367,2483,-829,None,None
2022-08-15 01:50:02.362364,2480,-826,None,None
2022-08-15 01:50:02.363362,2478,-823,None,None
2022-08-15 01:50:02.364359,2473,-818,None,None
2022-08-15 01:50:02.365360,2470,-814,None,None
2022-08-15 01:50:02.366358,2467,-810,None,None
2022-08-15 01:50:02.368355,2463,-806,None,None
2022-08-15 01:50:02.371344,2460,-803,None,None
2022-08-15 01:50:02.372340,2455,-798,None,None
2022-08-15 01:50:02.373341,2444,-786,None,None
2022-08-15 01:50:02.374332,2441,-783,None,None
2022-08-15 01:50:02.375331,2437,-779,None,None
2022-08-15 01:50:02.376327,2436,-777,None,None
2022-08-15 01:50:02.377325,2428,-770,None,None
2022-08-15 01:50:02.378324,2424,-765,None,None
2022-08-15 01:50:02.379320,2421,-763,None,None
2022-08-15 01:50:02.380315,2415,-758,None,None
2022-08-15 01:50:02.381313,2411,-754,None,None
2022-08-15 01:50:02.382311,2407,-750,None,None
2022-08-15 01:50:02.383308,2400,-744,None,None
2022-08-15 01:50:02.384306,2394,-739,None,None
2022-08-15 01:50:02.386321,2390,-736,None,None
2022-08-15 01:50:02.387301,2385,-731,None,None
2022-08-15 01:50:02.388294,2377,-725,None,None
2022-08-15 01:50:02.389294,2372,-720,None,None
